Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;
Mar_BR;Eventuais B2G;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;65;;;3728;;4100;
Mar_BR;Rede Alpha;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;6;21;28;330;;328;
Mar_BR;Rossi Advogados;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;2;7;9;101;;118;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;7465;5764;59584;58143;59441;72207;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;110;444;5745;5929;5628;7926;
Mar_BR;São Paulo CRSN PSP 6018/2025;Custo dos Serviços Prestados;;;;;;;;;;;;;;;;;;;;;;;3278;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Administrativas;0;0;0;0;0;0;0;0;0;78896;12340;7917;23954;42979;979;524;12234;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas Administrativas;0;0;0;0;0;0;0;0;0;0;0;12897;10002;9366;11630;10720;3784;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas Administrativas;10908;7847;177;625;787;9230;13532;8632;9143;60;0;0;0;0;0;0;4840;;;;;;;
Mar_BR;Oftalmo;Despesas Administrativas;4300;2692;3132;5350;4466;2158;3889;3869;3873;3726;3369;3612;4587;4076;3584;7697;0;;;;;;;
Mar_BR;PG - 171;Despesas Administrativas;41402;31596;25028;44846;36647;31975;35549;32850;41778;40329;15764;3577;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Despesas Administrativas;10936;5598;1673;5682;5864;5710;4813;5593;5719;4728;2515;2406;0;0;0;0;0;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Despesas Administrativas;8617;24605;45606;106479;79212;78718;74295;71182;91577;88132;80804;110405;109134;120672;111486;133010;96586;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas Administrativas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7195;8559;6364;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas Administrativas;;;;;;;;;;;;;;;;;;;;;;23141;12;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Administrativas;;;;;;;;;;;;;;;;;;;2308;3139;2317;;471;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas Administrativas;;;;;;;;;;;;;;;;;;1466;2093;4515;4039;4935;2335;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas Administrativas;;;;;;;;;;;;;;;;;;2600;3060;6601;76;232;5449;
Mar_BR;D.Z.M;Despesas Administrativas;;;;;;;;;;;;;;;;;;2382;49;343;;;1470;
Mar_BR;Eventuais B2G;Despesas Administrativas;;;;;;;;;;;;;;;;;;1253;;119;3641;;;
Mar_BR;Rede Alpha;Despesas Administrativas;;;;;;;;;;;;;;;;;;107;161;284;323;3;151;
Mar_BR;Rossi Advogados;Despesas Administrativas;;;;;;;;;;;;;;;;;;38;55;96;99;1;54;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Despesas Administrativas;;;;;;;;;;;;;;;;;;21519;30494;59346;56277;64486;28955;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas Administrativas;;;;;;;;;;;;;;;;;;2554;3656;6657;6068;7600;3415;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Despesas Administrativas;;;;;;;;;;;;;;;;;;;;;;37;;
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas Administrativas;;;;;;;;;;;;;;;;;;;;;;;1485;
Mar_BR;Ybox;Despesas Administrativas;;;;;;;;;;;;;;;;;;;74;;76;;;
Mar_BR;Oftalmo;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;261;0;0;43;0;1;0;0;;;;;;;
Mar_BR;PG - 171;Despesas com Pessoal;35482;32205;36193;37228;36222;34094;45586;50456;40376;41118;34080;20451;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Despesas com Pessoal;4696;6794;7879;7526;9652;3896;13583;8527;9056;9025;8102;2812;0;0;0;0;0;;;;;;;
Mar_BR;Rede Alpha;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;274;274;274;274;274;;;;;;;
Mar_BR;Rossi Advogados;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas com Pessoal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14269;24633;19277;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas com Pessoal;;;;;;;;;;;;;;;;;;;;;;3970;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas com Pessoal;;;;;;;;;;;;;;;;;;710;163;263;314;827;115;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas com Pessoal;;;;;;;;;;;;;;;;;;1259;238;439;;;387;
Mar_BR;Eventuais B2G;Despesas com Pessoal;;;;;;;;;;;;;;;;;;607;;;319;;;
Mar_BR;Rede Alpha;Despesas com Pessoal;;;;;;;;;;;;;;;;;;52;13;20;28;;9;
Mar_BR;Rossi Advogados;Despesas com Pessoal;;;;;;;;;;;;;;;;;;18;4;7;9;;3;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Despesas com Pessoal;;;;;;;;;;;;;;;;;;10380;2369;3830;4585;10588;1789;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas com Pessoal;;;;;;;;;;;;;;;;;;18323;28391;25483;31504;38696;33524;
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas com Pessoal;;;;;;;;;;;;;;;;;;;;;;338;931;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;;;;;184;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;9;18;24;18;38;52;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;16;27;40;;;176;
Mar_BR;Eventuais B2G;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;8;;;18;;;
Mar_BR;Rede Alpha;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;1;1;2;2;;4;
Mar_BR;Rossi Advogados;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;0;0;1;0;;2;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;128;264;650;265;490;815;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;13;30;38;29;54;89;
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas de Vendas e Marketing;;;;;;;;;;;;;;;;;;;;;;;42;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas Financeiras;;;;;;;;;;;;;;;;;;;;;;1931;5;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Financeiras;;;;;;;;;;;;;;;;;;;4;1;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas Financeiras;;;;;;;;;;;;;;;;;;539;442;572;471;438;385;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas Financeiras;;;;;;;;;;;;;;;;;;936;648;957;40;41;1293;
Mar_BR;Eventuais B2G;Despesas Financeiras;;;;;;;;;;;;;;;;;;441;;;442;;;
Mar_BR;Rede Alpha;Despesas Financeiras;;;;;;;;;;;;;;;;;;37;38;43;41;2;45;
Mar_BR;Rossi Advogados;Despesas Financeiras;;;;;;;;;;;;;;;;;;13;11;17;13;1;13;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Despesas Financeiras;;;;;;;;;;;;;;;;;;7732;6575;8346;6719;5470;6005;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas Financeiras;;;;;;;;;;;;;;;;;;771;732;918;717;583;694;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Despesas Financeiras;;;;;;;;;;;;;;;;;;;;;;;170;
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas Financeiras;;;;;;;;;;;;;;;;;;;;;;231;307;
Mar_BR;Ybox;Despesas Financeiras;;;;;;;;;;;;;;;;;;;1;14;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Despesas Variáveis;;;;;;;;;;;;;;;;;;;;;;1350;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Despesas Variáveis;;;;;;;;;;;;;;;;;;;;;;;5;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Despesas Variáveis;;;;;;;;;;;;;;;;;;42;204;73;132;281;1002;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Despesas Variáveis;;;;;;;;;;;;;;;;;;7;298;122;;;2945;
Mar_BR;Eventuais B2G;Despesas Variáveis;;;;;;;;;;;;;;;;;;37;;;134;;;
Mar_BR;Rede Alpha;Despesas Variáveis;;;;;;;;;;;;;;;;;;0;16;6;12;;68;
Mar_BR;Rossi Advogados;Despesas Variáveis;;;;;;;;;;;;;;;;;;0;5;2;4;;25;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Despesas Variáveis;;;;;;;;;;;;;;;;;;561;2968;1062;1922;3599;15409;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Despesas Variáveis;;;;;;;;;;;;;;;;;;58;332;116;407;394;1655;
Mar_BR;São Paulo CRSN PSP 6018/2025;Despesas Variáveis;;;;;;;;;;;;;;;;;;;;;;;676;
Mar_BR;Mar Brasil - Rateio;Distribuição de Dividendos;;;;;;;;;;;;;;;;40000;;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Equipamentos;;;;;;;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;
Mar_BR;Bertioga 3151;Equipamentos;;;;;;;;;;;;;;;;;;;;;;;;639
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Equipamentos;;;;;;;;;;;245;245;245;245;245;245;245;245;245;245;245;245;245;
Mar_BR;Oftalmo;Equipamentos;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;;;;;;;
Mar_BR;PG - 171;Equipamentos;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;;;;;;;;;;;;;
Mar_BR;PG - Chiller;Equipamentos;301;301;301;301;301;301;301;301;301;301;301;301;;;;;;;;;;;;
Mar_BR;Rede Alpha;Equipamentos;27;27;27;27;27;27;27;27;24;24;24;24;18;18;18;18;18;18;18;18;18;18;18;24
Mar_BR;Rossi Advogados;Equipamentos;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Equipamentos;;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;2284;2284;2284;2284;2284;2284;2284;2284;2284;2284
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Equipamentos;;;;;;;;;;;;;;;408;408;408;408;408;408;408;408;408;381
Mar_BR;Ybox-MarBR;Honorários;6952;5904;5976;5976;5906;5906;8838;2975;5404;2975;3051;8666;3051;5644;5618;5644;5644;5966;3634;7260;3545;3545;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Impostos;0;0;0;0;0;0;0;0;0;6777;6840;6782;27122;1497;0;0;5545;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Impostos;0;0;0;0;0;0;0;0;0;0;0;3616;3616;3851;3616;3616;2668;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Impostos;8577;15621;10445;0;0;543;26037;12503;462;0;0;136;109;4000;104;1904;1930;;;;;;;
Mar_BR;Oftalmo;Impostos;2068;1632;1680;960;960;1220;1653;1653;1220;1653;1653;1220;1220;1220;1220;1337;0;;;;;;;
Mar_BR;PG - 171;Impostos;23687;22093;22784;15250;10103;14153;14153;14129;14137;1429;165;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Impostos;8011;6479;2310;1748;1020;1488;1488;1488;1488;1488;1488;1488;0;0;0;0;0;;;;;;;
Mar_BR;Rede Alpha;Impostos;0;0;0;0;0;0;227;227;202;202;251;153;166;1006;151;151;151;;;;;;;
Mar_BR;Rossi Advogados;Impostos;0;0;0;25,27;53;53;53;53;53;53;53;0;29;67;67;67;67;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Impostos;0;0;70589;51647;51677;43992;43992;43992;43992;43992;43992;43992;43992;43992;52772;52772;52772;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Impostos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3710;5229;5705;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Impostos;;;;;;;;;;;;;;;;;;;;;;5947;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Impostos;;;;;;;;;;;;;;;;;;3607;3632;3627;3557;3384;3186;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Impostos;;;;;;;;;;;;;;;;;;2263;1708;1946;;570;3992;
Mar_BR;Eventuais B2G;Impostos;;;;;;;;;;;;;;;;;;5829;;;3940;;;
Mar_BR;Rede Alpha;Impostos;;;;;;;;;;;;;;;;;;152;163;163;202;116;213;
Mar_BR;Rossi Advogados;Impostos;;;;;;;;;;;;;;;;;;92;97;97;96;66;101;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Impostos;;;;;;;;;;;;;;;;;;52677;52976;52914;51908;51781;54406;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Impostos;;;;;;;;;;;;;;;;;;9958;10840;10784;10675;10668;10946;
Mar_BR;São Paulo CRSN PSP 6018/2025;Impostos;;;;;;;;;;;;;;;;;;;;;;;5182;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Outras Receitas;;;;;;;;;;;;;;;;;;115;175;466;22;;0;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Outras Receitas;;;;;;;;;;;;;;;;;;175;182;780;37;;0;
Mar_BR;Eventuais B2B;Outras Receitas;;;;;;;;;;;;;;;;;;36;;0;0;;0;
Mar_BR;Eventuais B2G;Outras Receitas;;;;;;;;;;;;;;;;;;37;;;;;;
Mar_BR;Rede Alpha;Outras Receitas;;;;;;;;;;;;;;;;;;;16;;;;;
Mar_BR;Rossi Advogados;Outras Receitas;;;;;;;;;;;;;;;;;;;5;;;;;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Outras Receitas;;;;;;;;;;;;;;;;;;1529;2486;6796;325;;0;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Outras Receitas;;;;;;;;;;;;;;;;;;162;337;759;36;;184;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Outros Custos;;;;;;;;;;;;;;;;;;;;;;5712;120;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Outros Custos;;;;;;;;;;;;;;;;;;;;410;111;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Outros Custos;;;;;;;;;;;;;;;;;;439;1086;554;682;1204;542;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Outros Custos;;;;;;;;;;;;;;;;;;780;1307;926;267;22;298;
Mar_BR;D.Z.M;Outros Custos;;;;;;;;;;;;;;;;;;;619;;118;;;
Mar_BR;Eventuais B2G;Outros Custos;;;;;;;;;;;;;;;;;;376;;;519;;;
Mar_BR;Locação Oftalmológico 14/2021 033/2021;Outros Custos;;;;;;;;;;;;;;;;;;565;565;;565;;;
Mar_BR;Rede Alpha;Outros Custos;;;;;;;;;;;;;;;;;;32;69;43;46;;35;
Mar_BR;Rossi Advogados;Outros Custos;;;;;;;;;;;;;;;;;;11;24;15;14;;12;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Outros Custos;;;;;;;;;;;;;;;;;;6429;13245;8080;11093;17206;6598;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Outros Custos;;;;;;;;;;;;;;;;;;635;1457;939;1128;2725;1046;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Outros Custos;;;;;;;;;;;;;;;;;;;;;;119;;
Mar_BR;São Paulo CRSN PSP 6018/2025;Outros Custos;;;;;;;;;;;;;;;;;;;;;;;340;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Outros Tributos;;;;;;;;;;;;;;;;;;;;14;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Outros Tributos;;;;;;;;;;;;;;;;;;;;23;;;;
Mar_BR;Rede Alpha;Outros Tributos;;;;;;;;;;;;;;;;;;;;1;;;;
Mar_BR;Rossi Advogados;Outros Tributos;;;;;;;;;;;;;;;;;;;;0;;;;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Outros Tributos;;;;;;;;;;;;;;;;;;;;200;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Outros Tributos;;;;;;;;;;;;;;;;;;;;22;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Preventiva - B2B;0;0;0;0;0;0;67;0;5;0;0;0;0;0;0;0;25;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;27;1407;1206;1326;1025;112;25;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;0;66;1701;264;459;49;480;;;;;;;
Mar_BR;Oftalmo;Preventiva - B2G;0;1;0;18;12;1;7;0;1;8;7;16;220;111;213;25;0;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Preventiva - B2G;0;34;0;421;747;116;894;377;230;208;174;423;5977;4036;5724;697;1830;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;49;22;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Preventiva - B2G;;;;;;;;;;;;;;;;;;;;;;738;46;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Preventiva - B2G;;;;;;;;;;;;;;;;;;;;;110;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Preventiva - B2G;;;;;;;;;;;;;;;;;;20;139;289;250;266;56;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Preventiva - B2G;;;;;;;;;;;;;;;;;;;204;484;;;;
Mar_BR;Eventuais B2G;Preventiva - B2G;;;;;;;;;;;;;;;;;;18;;;254;;;
Mar_BR;Rede Alpha;Preventiva - B2G;;;;;;;;;;;;;;;;;;;11;22;22;4;3;
Mar_BR;Rossi Advogados;Preventiva - B2G;;;;;;;;;;;;;;;;;;;4;8;7;1;1;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Preventiva - B2G;;;;;;;;;;;;;;;;;;270;2247;4434;3654;2644;879;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Preventiva - B2G;;;;;;;;;;;;;;;;;;1828;227;459;398;1143;96;
Mar_BR;São Paulo CRSN PSP 6018/2025;Preventiva - B2G;;;;;;;;;;;;;;;;;;;;;;;45;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;3377;3409;3444;13772;733;0;0;2798;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;1836;1815;1815;1804;1824;1819;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;398;312;9536;299;5517;5584;;;;;;;
Mar_BR;Oftalmo;Provisão - IRPJ e CSSL Trimestral;0;0;0;825;824;824;838;831;824;824;824;839;810;830;825;333;0;;;;;3460;;
Mar_BR;Eventuais B2G;Provisão - IRPJ e CSSL Trimestral;0;0;0;8459;7057;7062;7179;7107;7051;7044;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - 171;Provisão - IRPJ e CSSL Trimestral;0;0;0;8459;7057;7062;7179;7107;7051;7044;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Provisão - IRPJ e CSSL Trimestral;0;0;0;743;742;743;755;748;742;742;741;755;0;0;0;0;0;;;;;;;
Mar_BR;Rede Alpha;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;362;359;319;319;396;245;261;1846;239;241;240;;;;;;;
Mar_BR;Rossi Advogados;Provisão - IRPJ e CSSL Trimestral;0;0;0;40;84;84;84;84;84;84;84;0;83;45;45;46;46;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;22430;21935;21964;22315;22129;21942;21934;21924;22339;21553;22085;26332;26628;26548;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1851;2638;2870;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;1836;1815;1815;1804;1824;1819;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;;;;;9903;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;1574;1683;1653;1729;1833;1704;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;8694;7335;8342;;4916;10549;
Mar_BR;Eventuais B2G;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;1347;;;3605;;;
Mar_BR;Rede Alpha;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;115;129;128;155;343;257;
Mar_BR;Rossi Advogados;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;41;44;44;48;49;49;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;23030;24512;26334;25238;26750;26641;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;2276;2740;2624;2749;2914;2952;
Mar_BR;São Paulo CRSN PSP 6018/2025;Provisão - IRPJ e CSSL Trimestral;;;;;;;;;;;;;;;;;;;;;;;1374;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;59190;1488;59240;236878;13080;0;0;48432;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;0;0;38947;35344;38026;31583;31583;31583;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Receita Bruta de Vendas;57500;57500;80583;0;0;2828;138349;45242;95092;0;0;3750;3000;90410;2850;52166;52886;;;;;;;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Receita Bruta de Vendas;0;0;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;460899;460899;460899;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32409;45673;49831;;;;;;;
Mar_BR;Oftalmo;Receita Bruta de Vendas;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;5776;0;;;;;;;
Mar_BR;Rede Alpha;Receita Bruta de Vendas;0;0;0;0;0;0;3420;3420;3040;3040;3775;2312;2508;17509;2280;2280;2280;;;;;;;
Mar_BR;Rossi Advogados;Receita Bruta de Vendas;0;0;0;380;800;800;800;800;800;800;800;0;800;800;800;800;800;;;;;;;
Mar_BR;PG - 171;Receita Bruta de Vendas;120824;126028;125760;136335;123608;123538;123608;123398;123468;123398;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Receita Bruta de Vendas;40069;38143;13000;13000;13000;13000;13000;13000;13000;13000;13000;13000;0;0;0;0;0;0;0;0;0;0;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;;;;;170636;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;31583;31583;31583;31583;31583;29478;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;55886;46259;52879;39170;46745;99701;
Mar_BR;Eventuais B2G;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;26948;;;32058;;;
Mar_BR;Rede Alpha;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;2280;2425;2425;2830;3234;2425;
Mar_BR;Rossi Advogados;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;800;850;850;850;850;850;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;460899;460899;460899;460899;460899;460899;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;46658;50207;50207;50207;50207;50207;
Mar_BR;São Paulo CRSN PSP 6018/2025;Receita Bruta de Vendas;;;;;;;;;;;;;;;;;;;;;;;23768;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Receitas Financeiras;;;;;;;;;;;;;;;;;;;;;;;30;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Receitas Financeiras;;;;;;;;;;;;;;;;;;73;5;1;0;0;7;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Receitas Financeiras;;;;;;;;;;;;;;;;;;228;7;1;0;0;1;
Mar_BR;Eventuais B2G;Receitas Financeiras;;;;;;;;;;;;;;;;;;58;;;;;;
Mar_BR;Rede Alpha;Receitas Financeiras;;;;;;;;;;;;;;;;;;5;0;0;0;0;0;
Mar_BR;Rossi Advogados;Receitas Financeiras;;;;;;;;;;;;;;;;;;21;0;0;0;0;0;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Receitas Financeiras;;;;;;;;;;;;;;;;;;1222;72;6;3;4;85;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Receitas Financeiras;;;;;;;;;;;;;;;;;;105;8;1;0;0;9;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Serviços;;;;;;;;;;;;;;;;;;3;;305;;;3;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Serviços;;;;;;;;;;;;;;;;;;4;;510;;;4;
Mar_BR;Eventuais B2G;Serviços;;;;;;;;;;;;;;;;;;2;;;;;;
Mar_BR;Rede Alpha;Serviços;;;;;;;;;;;;;;;;;;;;23;;;;
Mar_BR;Rossi Advogados;Serviços;;;;;;;;;;;;;;;;;;;;8;;;;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Serviços;;;;;;;;;;;;;;;;;;37;;4448;;;39;
